,Line A,Line B
0,1.5218808743677334,1.4844097731824917
1,100000.0,1.4856158389402663
2,1.5317619644518614,1.4979550606422087
3,1.532252896311474,1.5138572522191465
4,1.4808063981280415,1.5065035860606537
5,1.47608911376322,1.489915870129664
6,1.4971773351625968,1.5010385823939005
7,1.5213713473745794,1.5002265126771024
8,1.4984992212269765,1.4837402318731163
9,1.4768448963690024,1.47719718481983
10,1.4797982457070415,1.4963827277446127
11,1.5000532756363278,1.4796901074931466
12,1.5215195919224285,1.4949855929565692
13,1.5339319702344734,1.4914519191225355
14,1.5320528285169128,1.5013984187605625
15,1.515236479523532,1.5126630378149872
16,1.524933460567918,1.4849772870338231
17,1.4965010359302982,1.5076645861994433
18,1.503938110895967,1.5117517742523277
19,1.5648577499329246,1.49416575405051
20,1.5016103759203625,1.5021202578035264
21,1.5400209564290996,1.487389641231573
22,1.4912675500101458,1.4900079308448486
23,1.5118879206571771,1.5069648160525468
24,1.4820782015835636,1.5142271641315028
25,1.5169373496099916,1.5094196020788362
26,1.4913642572701005,100000.0
27,1.49523872036631,1.4996395340448012
28,1.4776918298650514,1.4886497241220005
29,1.5187821159607413,1.5017735727556856
30,1.513397118481533,1.489713722572161
31,1.5338317717707117,1.491846991479653
32,1.4758094626544003,1.505752362959043
33,1.519419824679331,1.5074940701101949
34,1.4984587197765398,1.49683406638177
35,1.488070979915906,1.4934799734877764
36,100000.0,1.4994270023041985
37,1.501423906023504,1.476597771570854
38,1.4796836095289516,1.4973052041995416
39,1.4727432573462187,1.4967649448783429
40,1.511804907367833,1.4856438436520087
41,1.5365757431995453,1.5071806422672578
42,1.5230309341857946,1.5044644193006005
43,1.5266790361024658,1.5034586518781012
44,1.4914513360726604,1.501782359362467
45,1.5225426157768387,1.5069718777135213
46,1.5136268203588668,1.4881117374340258
47,1.5245893706202613,1.5037543526601842
48,1.5044956439910877,1.4991347267158488
49,1.5016748410789098,1.5051057993212151
50,1.5037094007215233,1.496843912193193
51,1.4807339197959382,1.4993307015466741
52,1.519227207465623,1.5174635294434007
53,1.5052377061865467,1.4876257276689469
